Name,Roll Number,Batch,Program,Course ID 1,Course 1,Course ID 2,Course 2,Customised Course ID,Customised Course
Bilal Ahmed,CT-24279021,2024,MS DS (Geospatial Data Science),CT-5004,Advanced Programming in GIS,CT-5012,Emerging Trends in Remote Sensing & GIS,,
Zain Mir,CT-24279022,2024,MS in Information Security,CT-575,Cryptography,CT-541,Network Security,CT-494,Introduction to Databases
Dua Butt,CT-24279023,2024,MS in Information Security,CT-543,Database Security,CT-541,Network Security,,
Hussain Ahmed,CT-24279024,2024,MS in Data Science,CT-562,Machine Learning,CT-559,Artificial Neural Networks,CT-493,Data Structure and Algorithm Design
Amna Butt,CT-25279025,2025,MS in Data Science,CT-562,Machine Learning,CT-530,Data Mining,,
Bilal Raza,CT-24279026,2024,MS in Information Security,CT-575,Cryptography,CT-507,Wireless and Mobile Communication Networks,,
Dua Raza,CT-24279027,2024,MS in Data Science,CT-562,Machine Learning,CT-559,Artificial Neural Networks,CT-493,Data Structure and Algorithm Design
Sara Shah,CT-24279028,2024,MS in Data Science,CT-525,Modeling & Simulation,CT-521,Distributed Intelligence Systems,CT-492,Object Oriented Programming
Zohaib Mir,CT-24279029,2024,MS in Computer Science and Information Technology,CT-506,Advanced Analysis of Algorithms,CT-526,Logic Programming,,
Zohaib Raza,CT-24279030,2024,MS DS (Geospatial Data Science),CT-5007,Web GIS,CT-5012,Emerging Trends in Remote Sensing & GIS,CT-495,Fundamentals of Remote Sensing and GIS
Hassan Shah,CT-25279031,2025,MS DS (Geospatial Data Science),CT-590,Data Visualization,CT-562,Machine Learning,CT-495,Fundamentals of Remote Sensing and GIS
Ali Ahmed,CT-25279032,2025,MS in Information Security,CT-553,Emerging Trends in Information Security 3,CT-554,Ethical Hacking,CT-493,Data Structure and Algorithm Design
Fatima Shah,CT-24279033,2024,MS DS (Geospatial Data Science),CT-530,Data Mining,CT-562,Machine Learning,CT-495,Fundamentals of Remote Sensing and GIS
Amna Shah,CT-24279034,2024,MS in Computer Science and Information Technology,CT-511,Information System Development Methodologies,CT-577,Advanced Theory of Automata,CT-491,Operating System
Sara Siddiqui,CT-24279035,2024,MS in Information Security,CT-541,Network Security,CT-542,Information Security Management,,
Hamza Khan,CT-24279036,2024,MS in Information Security,CT-509,Distributed Systems,CT-554,Ethical Hacking,CT-493,Data Structure and Algorithm Design
Hussain Siddiqui,CT-25279037,2025,MS DS (Geospatial Data Science),CT-5012,Emerging Trends in Remote Sensing & GIS,CT-530,Data Mining,,
Amna Khan,CT-24279038,2024,MS in Information Security,CT-507,Wireless and Mobile Communication Networks,CT-575,Cryptography,CT-494,Introduction to Databases
Ali Shah,CT-24279039,2024,MS DS (Geospatial Data Science),CT-527,Image processing & Computer Vision,CT-5012,Emerging Trends in Remote Sensing & GIS,,
Sara Raza,CT-24279040,2024,MS in Data Science,CT-527,Image processing & Computer Vision,CT-529,Object Oriented Databases,,
Ali Raza,CT-25279041,2025,MS in Computer Science and Information Technology,CT-523,Fuzzy Control & Neural Networks,CT-506,Advanced Analysis of Algorithms,CT-491,Operating System
Hamza Siddiqui,CT-25279042,2025,MS in Information Security,CT-507,Wireless and Mobile Communication Networks,CT-509,Distributed Systems,CT-493,Data Structure and Algorithm Design
Mubashir Khan,CT-24279043,2024,MS in Computer Science and Information Technology,CT-512,Principles of Marketing,CT-534,Software Quality Assurance,,
Zohaib Raza,CT-25279044,2025,MS in Information Security,CT-575,Cryptography,CT-509,Distributed Systems,,
Ayesha Ahmed,CT-24279045,2024,MS in Computer Science and Information Technology,CT-530,Data Mining,CT-506,Advanced Analysis of Algorithms,,
Fatima Khan,CT-25279046,2025,MS in Data Science,CT-524,Knowledge Based System,CT-559,Artificial Neural Networks,CT-492,Object Oriented Programming
Ayesha Mir,CT-25279047,2025,MS DS (Geospatial Data Science),CT-5012,Emerging Trends in Remote Sensing & GIS,CT-5011,GIS for Emergency Management,,
Dua Siddiqui,CT-25279048,2025,MS DS (Geospatial Data Science),CT-5004,Advanced Programming in GIS,CT-5011,GIS for Emergency Management,,
Zohaib Siddiqui,CT-24279049,2024,MS DS (Geospatial Data Science),CT-562,Machine Learning,CT-5007,Web GIS,CT-495,Fundamentals of Remote Sensing and GIS
Maryam Raza,CT-24279050,2024,MS in Computer Science and Information Technology,CT-577,Advanced Theory of Automata,CT-506,Advanced Analysis of Algorithms,CT-491,Operating System
Ali Raza,CT-25279051,2025,MS in Data Science,CT-529,Object Oriented Databases,CT-521,Distributed Intelligence Systems,CT-492,Object Oriented Programming
Ahmed Mir,CT-24279052,2024,MS in Computer Science and Information Technology,CT-530,Data Mining,CT-523,Fuzzy Control & Neural Networks,,
Hassan Siddiqui,CT-24279053,2024,MS in Data Science,CT-521,Distributed Intelligence Systems,CT-524,Knowledge Based System,CT-493,Data Structure and Algorithm Design
Zain Butt,CT-24279054,2024,MS in Data Science,CT-528,Advance Database Techniques,CT-525,Modeling & Simulation,CT-492,Object Oriented Programming
Amna Khan,CT-24279055,2024,MS in Information Security,CT-541,Network Security,CT-554,Ethical Hacking,CT-494,Introduction to Databases
Mubashir Siddiqui,CT-25279056,2025,MS in Data Science,CT-525,Modeling & Simulation,CT-562,Machine Learning,CT-493,Data Structure and Algorithm Design
Zain Ahmed,CT-24279057,2024,MS in Computer Science and Information Technology,CT-526,Logic Programming,CT-506,Advanced Analysis of Algorithms,CT-491,Operating System
Usman Mir,CT-25279058,2025,MS DS (Geospatial Data Science),CT-5004,Advanced Programming in GIS,CT-5005,Spatial Decision Support Systems,CT-494,Introduction to Databases
Fatima Ahmed,CT-24279059,2024,MS DS (Geospatial Data Science),CT-530,Data Mining,CT-562,Machine Learning,,
Mubashir Butt,CT-24279060,2024,MS in Computer Science and Information Technology,CT-513,Quality Information System,CT-506,Advanced Analysis of Algorithms,CT-494,Introduction to Databases
Mubashir Raza,CT-25279061,2025,MS in Data Science,CT-529,Object Oriented Databases,CT-528,Advance Database Techniques,,
Sara Ahmed,CT-25279062,2025,MS DS (Geospatial Data Science),CT-5007,Web GIS,CT-5012,Emerging Trends in Remote Sensing & GIS,CT-494,Introduction to Databases
Sara Shah,CT-25279063,2025,MS in Information Security,CT-552,Quantum Cryptography,CT-509,Distributed Systems,CT-493,Data Structure and Algorithm Design
Ayesha Butt,CT-25279064,2025,MS in Information Security,CT-552,Quantum Cryptography,CT-542,Information Security Management,CT-493,Data Structure and Algorithm Design
Zohaib Siddiqui,CT-24279065,2024,MS in Data Science,CT-530,Data Mining,CT-581,Statistics & Probability for Data Science,,
Ali Ahmed,CT-25279066,2025,MS DS (Geospatial Data Science),CT-581,Statistics & Probability for Data Science,CT-5012,Emerging Trends in Remote Sensing & GIS,,
Ahmed Khan,CT-24279067,2024,MS in Information Security,CT-509,Distributed Systems,CT-507,Wireless and Mobile Communication Networks,,
Hussain Raza,CT-24279068,2024,MS in Information Security,CT-542,Information Security Management,CT-554,Ethical Hacking,CT-494,Introduction to Databases
Ahmed Siddiqui,CT-24279069,2024,MS in Computer Science and Information Technology,CT-501,Software Project Management,CT-523,Fuzzy Control & Neural Networks,,
Dua Butt,CT-24279070,2024,MS in Data Science,CT-527,Image processing & Computer Vision,CT-521,Distributed Intelligence Systems,CT-492,Object Oriented Programming
Zohaib Butt,CT-24279071,2024,MS in Computer Science and Information Technology,CT-506,Advanced Analysis of Algorithms,CT-534,Software Quality Assurance,,
Amna Butt,CT-24279072,2024,MS in Information Security,CT-554,Ethical Hacking,CT-544,Cyber Crimes and Security,CT-493,Data Structure and Algorithm Design
Ayesha Ahmed,CT-25279073,2025,MS in Computer Science and Information Technology,CT-530,Data Mining,CT-512,Principles of Marketing,CT-491,Operating System
Usman Siddiqui,CT-25279074,2025,MS in Information Security,CT-551,Fault Tolerance and Reliability,CT-507,Wireless and Mobile Communication Networks,,
Fatima Raza,CT-25279075,2025,MS DS (Geospatial Data Science),CT-5007,Web GIS,CT-5012,Emerging Trends in Remote Sensing & GIS,,
Hussain Raza,CT-25279076,2025,MS DS (Geospatial Data Science),CT-530,Data Mining,CT-5005,Spatial Decision Support Systems,,
Sara Shah,CT-24279077,2024,MS DS (Geospatial Data Science),CT-527,Image processing & Computer Vision,CT-5011,GIS for Emergency Management,CT-494,Introduction to Databases
Usman Raza,CT-24279078,2024,MS in Computer Science and Information Technology,CT-534,Software Quality Assurance,CT-516,Multimedia Communications,,
Bilal Raza,CT-25279079,2025,MS in Data Science,CT-521,Distributed Intelligence Systems,CT-525,Modeling & Simulation,,
Hamza Raza,CT-25279080,2025,MS in Information Security,CT-551,Fault Tolerance and Reliability,CT-575,Cryptography,CT-494,Introduction to Databases
Dua Mir,CT-25279081,2025,MS DS (Geospatial Data Science),CT-590,Data Visualization,CT-5007,Web GIS,CT-495,Fundamentals of Remote Sensing and GIS
Amna Mir,CT-24279082,2024,MS DS (Geospatial Data Science),CT-590,Data Visualization,CT-530,Data Mining,CT-494,Introduction to Databases
Ali Ahmed,CT-24279083,2024,MS DS (Geospatial Data Science),CT-5012,Emerging Trends in Remote Sensing & GIS,CT-5005,Spatial Decision Support Systems,CT-495,Fundamentals of Remote Sensing and GIS
Hassan Ahmed,CT-25279084,2025,MS in Computer Science and Information Technology,CT-530,Data Mining,CT-526,Logic Programming,CT-494,Introduction to Databases
Fatima Mir,CT-24279085,2024,MS in Computer Science and Information Technology,CT-516,Multimedia Communications,CT-511,Information System Development Methodologies,CT-491,Operating System
Bilal Mir,CT-24279086,2024,MS in Information Security,CT-553,Emerging Trends in Information Security 3,CT-541,Network Security,,
Mubashir Ahmed,CT-24279087,2024,MS DS (Geospatial Data Science),CT-5007,Web GIS,CT-530,Data Mining,,
Ayesha Butt,CT-24279088,2024,MS DS (Geospatial Data Science),CT-530,Data Mining,CT-590,Data Visualization,,
Amna Ahmed,CT-25279089,2025,MS DS (Geospatial Data Science),CT-5005,Spatial Decision Support Systems,CT-590,Data Visualization,,
Usman Mir,CT-25279090,2025,MS in Data Science,CT-525,Modeling & Simulation,CT-524,Knowledge Based System,CT-492,Object Oriented Programming
Zohaib Siddiqui,CT-25279091,2025,MS in Data Science,CT-524,Knowledge Based System,CT-530,Data Mining,CT-492,Object Oriented Programming
Ayesha Shah,CT-25279092,2025,MS in Information Security,CT-507,Wireless and Mobile Communication Networks,CT-509,Distributed Systems,CT-493,Data Structure and Algorithm Design
Fatima Shah,CT-24279093,2024,MS in Data Science,CT-559,Artificial Neural Networks,CT-525,Modeling & Simulation,,
Ayesha Khan,CT-25279094,2025,MS in Computer Science and Information Technology,CT-516,Multimedia Communications,CT-512,Principles of Marketing,CT-491,Operating System
Ali Siddiqui,CT-25279095,2025,MS in Data Science,CT-521,Distributed Intelligence Systems,CT-524,Knowledge Based System,,
Hassan Khan,CT-24279096,2024,MS in Computer Science and Information Technology,CT-513,Quality Information System,CT-523,Fuzzy Control & Neural Networks,CT-491,Operating System
Ali Mir,CT-24279097,2024,MS in Data Science,CT-527,Image processing & Computer Vision,CT-559,Artificial Neural Networks,CT-493,Data Structure and Algorithm Design
Hamza Raza,CT-25279098,2025,MS in Information Security,CT-575,Cryptography,CT-542,Information Security Management,CT-493,Data Structure and Algorithm Design
Ali Shah,CT-24279099,2024,MS in Information Security,CT-554,Ethical Hacking,CT-551,Fault Tolerance and Reliability,CT-494,Introduction to Databases
Hussain Ahmed,CT-24279100,2024,MS in Information Security,CT-551,Fault Tolerance and Reliability,CT-541,Network Security,,
Hussain Raza,CT-25279101,2025,MS in Information Security,CT-543,Database Security,CT-541,Network Security,,
Sara Raza,CT-24279102,2024,MS in Computer Science and Information Technology,CT-513,Quality Information System,CT-530,Data Mining,CT-491,Operating System
Fatima Shah,CT-25279103,2025,MS DS (Geospatial Data Science),CT-5007,Web GIS,CT-530,Data Mining,,
Hussain Ahmed,CT-24279104,2024,MS in Data Science,CT-524,Knowledge Based System,CT-527,Image processing & Computer Vision,CT-492,Object Oriented Programming
Hamza Raza,CT-24279105,2024,MS in Computer Science and Information Technology,CT-530,Data Mining,CT-513,Quality Information System,CT-491,Operating System
Hamza Khan,CT-24279106,2024,MS DS (Geospatial Data Science),CT-5004,Advanced Programming in GIS,CT-5012,Emerging Trends in Remote Sensing & GIS,CT-495,Fundamentals of Remote Sensing and GIS
Maryam Khan,CT-24279107,2024,MS in Information Security,CT-509,Distributed Systems,CT-554,Ethical Hacking,CT-494,Introduction to Databases
Ayesha Butt,CT-25279108,2025,MS in Data Science,CT-524,Knowledge Based System,CT-530,Data Mining,,
Maryam Mir,CT-24279109,2024,MS in Data Science,CT-581,Statistics & Probability for Data Science,CT-521,Distributed Intelligence Systems,,
Fatima Siddiqui,CT-24279110,2024,MS in Information Security,CT-544,Cyber Crimes and Security,CT-575,Cryptography,CT-494,Introduction to Databases
Amna Raza,CT-25279111,2025,MS DS (Geospatial Data Science),CT-530,Data Mining,CT-581,Statistics & Probability for Data Science,CT-494,Introduction to Databases
Usman Siddiqui,CT-25279112,2025,MS in Data Science,CT-530,Data Mining,CT-527,Image processing & Computer Vision,,
Ayesha Raza,CT-24279113,2024,MS in Data Science,CT-524,Knowledge Based System,CT-530,Data Mining,CT-493,Data Structure and Algorithm Design
Dua Siddiqui,CT-25279114,2025,MS in Information Security,CT-555,Cloud Security,CT-575,Cryptography,,
Sara Shah,CT-25279115,2025,MS in Computer Science and Information Technology,CT-512,Principles of Marketing,CT-501,Software Project Management,CT-494,Introduction to Databases
Usman Butt,CT-25279116,2025,MS DS (Geospatial Data Science),CT-5005,Spatial Decision Support Systems,CT-5007,Web GIS,CT-494,Introduction to Databases
Ayesha Butt,CT-25279117,2025,MS in Information Security,CT-554,Ethical Hacking,CT-507,Wireless and Mobile Communication Networks,CT-493,Data Structure and Algorithm Design
Hussain Raza,CT-24279118,2024,MS in Data Science,CT-521,Distributed Intelligence Systems,CT-562,Machine Learning,CT-493,Data Structure and Algorithm Design
Dua Shah,CT-24279119,2024,MS in Computer Science and Information Technology,CT-526,Logic Programming,CT-512,Principles of Marketing,CT-494,Introduction to Databases
Ayesha Ahmed,CT-24279120,2024,MS in Computer Science and Information Technology,CT-526,Logic Programming,CT-577,Advanced Theory of Automata,,
Bilal Shah,CT-25279121,2025,MS DS (Geospatial Data Science),CT-530,Data Mining,CT-5011,GIS for Emergency Management,CT-495,Fundamentals of Remote Sensing and GIS
Hassan Butt,CT-25279122,2025,MS in Data Science,CT-521,Distributed Intelligence Systems,CT-524,Knowledge Based System,CT-492,Object Oriented Programming
Ayesha Shah,CT-25279123,2025,MS in Data Science,CT-528,Advance Database Techniques,CT-581,Statistics & Probability for Data Science,,
Ayesha Butt,CT-25279124,2025,MS DS (Geospatial Data Science),CT-5011,GIS for Emergency Management,CT-5007,Web GIS,CT-495,Fundamentals of Remote Sensing and GIS
Ayesha Mir,CT-24279125,2024,MS in Information Security,CT-542,Information Security Management,CT-554,Ethical Hacking,CT-494,Introduction to Databases
Bilal Butt,CT-24279126,2024,MS DS (Geospatial Data Science),CT-5004,Advanced Programming in GIS,CT-5012,Emerging Trends in Remote Sensing & GIS,CT-495,Fundamentals of Remote Sensing and GIS
Bilal Ahmed,CT-24279127,2024,MS in Information Security,CT-555,Cloud Security,CT-553,Emerging Trends in Information Security 3,,
Bilal Raza,CT-24279128,2024,MS DS (Geospatial Data Science),CT-562,Machine Learning,CT-527,Image processing & Computer Vision,CT-494,Introduction to Databases
Mubashir Ahmed,CT-25279129,2025,MS DS (Geospatial Data Science),CT-5005,Spatial Decision Support Systems,CT-5007,Web GIS,CT-495,Fundamentals of Remote Sensing and GIS
Hussain Khan,CT-24279130,2024,MS in Computer Science and Information Technology,CT-501,Software Project Management,CT-530,Data Mining,CT-491,Operating System
Mubashir Siddiqui,CT-24279131,2024,MS DS (Geospatial Data Science),CT-530,Data Mining,CT-581,Statistics & Probability for Data Science,CT-494,Introduction to Databases
Dua Khan,CT-24279132,2024,MS in Data Science,CT-527,Image processing & Computer Vision,CT-530,Data Mining,CT-492,Object Oriented Programming
Ayesha Raza,CT-24279133,2024,MS in Computer Science and Information Technology,CT-526,Logic Programming,CT-523,Fuzzy Control & Neural Networks,CT-494,Introduction to Databases
Ayesha Shah,CT-24279134,2024,MS in Data Science,CT-525,Modeling & Simulation,CT-530,Data Mining,,
Bilal Butt,CT-24279135,2024,MS in Information Security,CT-552,Quantum Cryptography,CT-575,Cryptography,,
Ali Raza,CT-25279136,2025,MS in Information Security,CT-575,Cryptography,CT-554,Ethical Hacking,CT-494,Introduction to Databases
Ali Mir,CT-24279137,2024,MS in Data Science,CT-528,Advance Database Techniques,CT-521,Distributed Intelligence Systems,CT-493,Data Structure and Algorithm Design
Amna Raza,CT-24279138,2024,MS DS (Geospatial Data Science),CT-5005,Spatial Decision Support Systems,CT-530,Data Mining,CT-494,Introduction to Databases
Dua Ahmed,CT-25279139,2025,MS in Information Security,CT-551,Fault Tolerance and Reliability,CT-553,Emerging Trends in Information Security 3,CT-493,Data Structure and Algorithm Design
Hamza Mir,CT-24279140,2024,MS in Computer Science and Information Technology,CT-511,Information System Development Methodologies,CT-516,Multimedia Communications,,
Dua Shah,CT-25279141,2025,MS DS (Geospatial Data Science),CT-5005,Spatial Decision Support Systems,CT-581,Statistics & Probability for Data Science,,
Fatima Butt,CT-24279142,2024,MS in Information Security,CT-575,Cryptography,CT-552,Quantum Cryptography,,
Dua Ahmed,CT-24279143,2024,MS in Computer Science and Information Technology,CT-577,Advanced Theory of Automata,CT-501,Software Project Management,,
Hassan Butt,CT-24279144,2024,MS in Information Security,CT-541,Network Security,CT-555,Cloud Security,CT-493,Data Structure and Algorithm Design
Zain Butt,CT-24279145,2024,MS in Computer Science and Information Technology,CT-511,Information System Development Methodologies,CT-506,Advanced Analysis of Algorithms,,
Bilal Mir,CT-24279146,2024,MS in Information Security,CT-542,Information Security Management,CT-509,Distributed Systems,,
Usman Khan,CT-24279147,2024,MS DS (Geospatial Data Science),CT-530,Data Mining,CT-5005,Spatial Decision Support Systems,CT-495,Fundamentals of Remote Sensing and GIS
Mubashir Shah,CT-25279148,2025,MS DS (Geospatial Data Science),CT-581,Statistics & Probability for Data Science,CT-5004,Advanced Programming in GIS,,
Ahmed Shah,CT-24279149,2024,MS DS (Geospatial Data Science),CT-5005,Spatial Decision Support Systems,CT-590,Data Visualization,,
Hamza Butt,CT-25279150,2025,MS in Information Security,CT-553,Emerging Trends in Information Security 3,CT-542,Information Security Management,CT-494,Introduction to Databases
Ali Raza,CT-24279151,2024,MS in Computer Science and Information Technology,CT-501,Software Project Management,CT-526,Logic Programming,CT-494,Introduction to Databases
Dua Raza,CT-25279152,2025,MS in Data Science,CT-524,Knowledge Based System,CT-559,Artificial Neural Networks,CT-492,Object Oriented Programming
Mubashir Khan,CT-25279153,2025,MS in Information Security,CT-543,Database Security,CT-509,Distributed Systems,,
Ayesha Butt,CT-25279154,2025,MS in Computer Science and Information Technology,CT-526,Logic Programming,CT-516,Multimedia Communications,,
Ali Butt,CT-25279155,2025,MS in Computer Science and Information Technology,CT-513,Quality Information System,CT-506,Advanced Analysis of Algorithms,CT-491,Operating System
Ali Shah,CT-25279156,2025,MS in Information Security,CT-507,Wireless and Mobile Communication Networks,CT-575,Cryptography,CT-494,Introduction to Databases
Zain Raza,CT-24279157,2024,MS in Information Security,CT-553,Emerging Trends in Information Security 3,CT-552,Quantum Cryptography,CT-494,Introduction to Databases
Amna Ahmed,CT-24279158,2024,MS in Computer Science and Information Technology,CT-516,Multimedia Communications,CT-577,Advanced Theory of Automata,CT-494,Introduction to Databases
Usman Ahmed,CT-25279159,2025,MS in Information Security,CT-542,Information Security Management,CT-509,Distributed Systems,CT-493,Data Structure and Algorithm Design
Usman Ahmed,CT-24279160,2024,MS in Computer Science and Information Technology,CT-577,Advanced Theory of Automata,CT-534,Software Quality Assurance,CT-494,Introduction to Databases
Sara Ahmed,CT-25279161,2025,MS in Information Security,CT-551,Fault Tolerance and Reliability,CT-541,Network Security,CT-494,Introduction to Databases
Maryam Mir,CT-25279162,2025,MS in Computer Science and Information Technology,CT-512,Principles of Marketing,CT-501,Software Project Management,CT-491,Operating System
Hassan Shah,CT-24279163,2024,MS in Data Science,CT-524,Knowledge Based System,CT-521,Distributed Intelligence Systems,,
Amna Mir,CT-25279164,2025,MS in Information Security,CT-509,Distributed Systems,CT-542,Information Security Management,CT-494,Introduction to Databases
Zain Siddiqui,CT-24279165,2024,MS in Computer Science and Information Technology,CT-501,Software Project Management,CT-512,Principles of Marketing,,
Sara Mir,CT-24279166,2024,MS DS (Geospatial Data Science),CT-5012,Emerging Trends in Remote Sensing & GIS,CT-5005,Spatial Decision Support Systems,CT-494,Introduction to Databases
Fatima Raza,CT-25279167,2025,MS in Information Security,CT-544,Cyber Crimes and Security,CT-555,Cloud Security,CT-494,Introduction to Databases
Maryam Shah,CT-25279168,2025,MS DS (Geospatial Data Science),CT-5012,Emerging Trends in Remote Sensing & GIS,CT-5007,Web GIS,CT-494,Introduction to Databases
Dua Ahmed,CT-24279169,2024,MS in Information Security,CT-544,Cyber Crimes and Security,CT-541,Network Security,,
Bilal Mir,CT-24279170,2024,MS in Data Science,CT-581,Statistics & Probability for Data Science,CT-521,Distributed Intelligence Systems,,
Maryam Mir,CT-25279171,2025,MS in Data Science,CT-528,Advance Database Techniques,CT-525,Modeling & Simulation,,
Mubashir Mir,CT-25279172,2025,MS in Computer Science and Information Technology,CT-512,Principles of Marketing,CT-526,Logic Programming,CT-491,Operating System
Dua Ahmed,CT-25279173,2025,MS in Information Security,CT-554,Ethical Hacking,CT-543,Database Security,CT-494,Introduction to Databases
Mubashir Raza,CT-24279174,2024,MS DS (Geospatial Data Science),CT-5012,Emerging Trends in Remote Sensing & GIS,CT-5005,Spatial Decision Support Systems,CT-494,Introduction to Databases
Mubashir Ahmed,CT-24279175,2024,MS in Computer Science and Information Technology,CT-530,Data Mining,CT-577,Advanced Theory of Automata,CT-491,Operating System
Zain Mir,CT-25279176,2025,MS DS (Geospatial Data Science),CT-5012,Emerging Trends in Remote Sensing & GIS,CT-581,Statistics & Probability for Data Science,CT-494,Introduction to Databases
Dua Butt,CT-24279177,2024,MS in Information Security,CT-552,Quantum Cryptography,CT-555,Cloud Security,CT-493,Data Structure and Algorithm Design
Ali Shah,CT-24279178,2024,MS in Information Security,CT-575,Cryptography,CT-507,Wireless and Mobile Communication Networks,,
Zain Butt,CT-25279179,2025,MS in Data Science,CT-559,Artificial Neural Networks,CT-528,Advance Database Techniques,CT-492,Object Oriented Programming
Amna Raza,CT-24279180,2024,MS in Data Science,CT-530,Data Mining,CT-528,Advance Database Techniques,CT-493,Data Structure and Algorithm Design
Maryam Siddiqui,CT-25279181,2025,MS in Information Security,CT-541,Network Security,CT-542,Information Security Management,CT-493,Data Structure and Algorithm Design
Ayesha Siddiqui,CT-25279182,2025,MS in Data Science,CT-562,Machine Learning,CT-525,Modeling & Simulation,CT-492,Object Oriented Programming
Fatima Siddiqui,CT-24279183,2024,MS DS (Geospatial Data Science),CT-590,Data Visualization,CT-530,Data Mining,,
Ali Khan,CT-25279184,2025,MS in Information Security,CT-541,Network Security,CT-507,Wireless and Mobile Communication Networks,CT-494,Introduction to Databases
Dua Raza,CT-24279185,2024,MS in Computer Science and Information Technology,CT-512,Principles of Marketing,CT-511,Information System Development Methodologies,CT-491,Operating System
Usman Mir,CT-25279186,2025,MS in Information Security,CT-555,Cloud Security,CT-541,Network Security,CT-493,Data Structure and Algorithm Design
Mubashir Mir,CT-24279187,2024,MS in Data Science,CT-530,Data Mining,CT-528,Advance Database Techniques,CT-492,Object Oriented Programming
Mubashir Siddiqui,CT-24279188,2024,MS in Data Science,CT-527,Image processing & Computer Vision,CT-528,Advance Database Techniques,CT-493,Data Structure and Algorithm Design
Ayesha Butt,CT-25279189,2025,MS in Computer Science and Information Technology,CT-501,Software Project Management,CT-523,Fuzzy Control & Neural Networks,CT-494,Introduction to Databases
Fatima Khan,CT-25279190,2025,MS in Information Security,CT-553,Emerging Trends in Information Security 3,CT-544,Cyber Crimes and Security,CT-493,Data Structure and Algorithm Design
Usman Raza,CT-25279191,2025,MS in Computer Science and Information Technology,CT-530,Data Mining,CT-534,Software Quality Assurance,CT-494,Introduction to Databases
Ayesha Shah,CT-24279192,2024,MS in Computer Science and Information Technology,CT-526,Logic Programming,CT-534,Software Quality Assurance,,
